lambda;Return;Risk;E[x,lambda];Stocks;Investment;Pareto
0.039702970297029704;0.007768699535225369;0.0012048101119938245;-0.007412424548241716;[26 8 15 21 8];[0.27705819021380945, 0.24024561763277136, 0.1, 0.28269619215341923, 0.1];false
0.039702970297029704;0.007082424155169353;0.0010483676775873956;-0.0067596075685420805;[26 15 8 8 26];[0.1, 0.34094148965085463, 0.2431087986356634, 0.1, 0.21594971171348198];false
0.039702970297029704;0.008062867765224501;0.0010321280813091523;-0.007701769415277967;[15 26 2 2 15];[0.25271250250830435, 0.1, 0.1598439887210034, 0.2830704793407042, 0.20437302942998817];false
0.039702970297029704;0.007019961888298065;0.000978340139509084;-0.006702405540461366;[15 21 2 2 26];[0.30563707609500906, 0.1, 0.28744465413131765, 0.1, 0.20691826977367334];false
0.039702970297029704;0.007234864779607603;0.001095023854371633;-0.00690414345859516;[2 15 26 21 5];[0.13074248259161017, 0.3282984224970314, 0.11378210247465936, 0.26808708647023916, 0.15908990596645983];false
0.039702970297029704;0.007160334948240172;0.0010261165870249578;-0.006835308506097468;[15 2 24 21 26];[0.23460624454509033, 0.2549242109650492, 0.15669301629526117, 0.1, 0.2537765281945993];false
0.039702970297029704;0.0071301077173966405;0.0011060445783285758;-0.006803108007437649;[2 26 26 15 15];[0.19431551169552547, 0.35520109185621507, 0.1945488707490095, 0.1, 0.15593452569924998];false
0.039702970297029704;0.009131283146241577;0.0011518371182678044;-0.008723012727818976;[15 21 15 15 2];[0.3414771382102842, 0.2297069913370118, 0.228815870452704, 0.1, 0.1];false
0.039702970297029704;0.007412873437388952;0.0009954897672120174;-0.007079036442830041;[15 26 23 15 2];[0.1882733242288706, 0.2180935688739892, 0.22504709116865745, 0.1, 0.2685860157284828];false
0.039702970297029704;0.0077587303823996555;0.001186936891196392;-0.007403560820348961;[15 15 2 23 24];[0.15495550629530785, 0.2610081504916958, 0.23609994608884455, 0.24793639712415189, 0.1];false
0.039702970297029704;0.007852141692979788;0.0012210438794860088;-0.0074919092756967395;[15 8 24 26 15];[0.14415185702294198, 0.189859297701879, 0.296538326844105, 0.11157591019924573, 0.25787460823182823];false
0.039702970297029704;0.008046484866587617;0.0011557834461154084;-0.007681127481103071;[2 5 26 15 15];[0.23701212901361893, 0.21527911694029372, 0.1, 0.20275169737998092, 0.24495705666610648];false
0.039702970297029704;0.007517319239333435;0.0012686031431819618;-0.007168492023948417;[8 2 15 15 24];[0.20254987483755588, 0.22940031016238716, 0.1, 0.21269625446595802, 0.2553535605340989];true
0.039702970297029704;0.008739957238450138;0.0012546228454416951;-0.008343142722248096;[15 15 5 26 15];[0.2624185637198772, 0.2705839920959793, 0.2669974441841435, 0.1, 0.1];false
0.039702970297029704;0.009627162911445336;0.0013675650841196189;-0.009190639552413499;[24 2 2 15 2];[0.14936731101335762, 0.2961347877047917, 0.10679261152294722, 0.13425310464630996, 0.3134521851125935];false
0.039702970297029704;0.00837720749254344;0.0012908577786975664;-0.007993356584249614;[8 24 15 8 15];[0.2105525060493997, 0.11672508628045286, 0.2276361991804673, 0.16643860182672493, 0.27864760666295524];false
0.039702970297029704;0.01049;0.001251073560400899;-0.010023844505176162;[8 15 15 15 15];[0.1, 0.1, 0.27961059667866983, 0.2810488679957522, 0.23934053532557809];false
0.039702970297029704;0.009329724036938498;0.0011294752514328448;-0.008914462758261577;[15 15 15 2 15];[0.2166681849434654, 0.213819000429933, 0.1465072206262503, 0.2755835510790705, 0.1474220429212808];false
0.039702970297029704;0.007142519067346893;0.0011293924270715677;-0.0068140996109843375;[15 15 24 8 2];[0.26194889622064066, 0.2908207021654742, 0.1, 0.1, 0.24723040161388515];true
0.039702970297029704;0.007861205527055366;0.001492836692716759;-0.00748982226664659;[24 15 8 8 2];[0.3293025068135106, 0.1, 0.2096513378764846, 0.15187937702999565, 0.20916677828000915];true
0.039702970297029704;0.009202487567123808;0.0014096311808096383;-0.008781154931686056;[8 8 2 2 2];[0.20865352313736873, 0.23468312562961596, 0.1890101869599993, 0.267653164273016, 0.1];false
0.039702970297029704;0.010015217522714353;0.0017328575937445463;-0.009548784045318311;[8 8 8 15 8];[0.2463386008201133, 0.27845916249921143, 0.1, 0.168340427354526, 0.20686180932614928];false
0.039702970297029704;0.007967599236318361;0.0012954939123008909;-0.007599826924180111;[15 15 8 15 24];[0.24138458146786693, 0.1993680040031316, 0.1, 0.19727428484410497, 0.2619731296848965];false
0.039702970297029704;0.007517319239333435;0.0012686031431819618;-0.007168492023948417;[8 2 15 15 24];[0.20254987483755588, 0.22940031016238716, 0.1, 0.21269625446595802, 0.2553535605340989];false
0.039702970297029704;0.007142519067346893;0.0011293924270715677;-0.0068140996109843375;[15 15 24 8 2];[0.26194889622064066, 0.2908207021654742, 0.1, 0.1, 0.24723040161388515];false
0.039702970297029704;0.007861205527055366;0.001492836692716759;-0.00748982226664659;[24 15 8 8 2];[0.3293025068135106, 0.1, 0.2096513378764846, 0.15187937702999565, 0.20916677828000915];false
0.049603960396039606;0.00882947327305007;0.0014088264725312751;-0.00832161305794747;[12 21 15 21 21];[0.16222885081040217, 0.16404773990122873, 0.2520163405281514, 0.18296450161190422, 0.2387425671483133];false
0.049603960396039606;0.007944442718059766;0.0013062380757480078;-0.0074855723143273205;[12 25 15 15 10];[0.37722975185645014, 0.17678716448499832, 0.2459830836585515, 0.1, 0.1];false
0.049603960396039606;0.00925052484629257;0.0015363001094153411;-0.008715455608390623;[21 21 15 21 21];[0.1, 0.1, 0.2658885299254659, 0.17857352479077326, 0.3555379452837608];false
0.049603960396039606;0.007932176138276506;0.0012415740361408384;-0.007477121797941546;[12 25 21 21 15];[0.1, 0.1, 0.2066080141178352, 0.1, 0.4933919858821648];false
0.049603960396039606;0.010298700000000001;0.0019434726714186495;-0.009691439751645471;[21 21 25 21 21];[0.1829689047851072, 0.26709742763839533, 0.1, 0.2481246078677834, 0.2018090597087141];false
0.049603960396039606;0.00979079120718751;0.001922925517947373;-0.009209744466663493;[21 21 21 25 21];[0.1552524559452818, 0.26986130960689314, 0.1, 0.18968899749470053, 0.2851972369531245];false
0.049603960396039606;0.009614210683904032;0.0019210502336157297;-0.009042016058193398;[25 21 25 21 21];[0.12795781016223057, 0.18530424776997942, 0.11982137289956935, 0.35608308415221795, 0.21083348501600266];false
0.049603960396039606;0.010360199999999998;0.0019435915746103052;-0.009749883210011901;[21 21 21 25 21];[0.31820715757601115, 0.1656183603656739, 0.3161744820583149, 0.1, 0.1];false
0.049603960396039606;0.0103602;0.0018702292945764422;-0.009753522269645267;[12 21 21 21 21];[0.1, 0.31354006593550104, 0.31425878254031914, 0.17220115152417984, 0.1];false
0.049603960396039606;0.008078450105406124;0.0016175212976692415;-0.007597491523926841;[21 12 21 21 12];[0.1, 0.23112346418254098, 0.1952088630637599, 0.25680181336133456, 0.21686585939236463];true
0.049603960396039606;0.008897627942436656;0.0016405916139195053;-0.008374890516918395;[21 12 21 21 12];[0.31375820666014864, 0.28973297495311856, 0.1, 0.19650881838673276, 0.1];false
0.049603960396039606;0.008078450105406124;0.0016175212976692415;-0.007597491523926841;[21 12 21 21 12];[0.1, 0.23112346418254098, 0.1952088630637599, 0.25680181336133456, 0.21686585939236463];false
0.0595049504950495;0.009468848257081273;0.0021232073932188496;-0.008779063559474306;[25 25 18 18 18];[0.27230713144499386, 0.1, 0.25411503041221006, 0.16264958307709007, 0.21092825506570606];false
0.0595049504950495;0.008649256304050858;0.001927267664906035;-0.008019900768868373;[11 18 25 18 18];[0.16382021787838313, 0.21750882917585349, 0.25791880800534794, 0.1490495534606063, 0.21170259147980922];false
0.0595049504950495;0.009751877308857964;0.0019700802413640125;-0.009054362805126934;[18 11 12 18 18];[0.22029594190459018, 0.1, 0.16221938430454266, 0.24104468676595492, 0.27643998702491224];false
0.0595049504950495;0.00897340355214519;0.0021579955914483966;-0.008311030197165017;[11 11 25 25 25];[0.1, 0.2747219587668004, 0.19202306120194418, 0.27217185161677515, 0.16108312841448025];false
0.0595049504950495;0.008478314804717467;0.001870936430445478;-0.007862483122308266;[12 25 11 12 25];[0.17270962506004597, 0.22054252140790928, 0.1, 0.22580170522571738, 0.28094614830632736];true
0.0595049504950495;0.00836420283267859;0.0016945928954370687;-0.007765654690837253;[25 11 25 12 11];[0.18990922852203626, 0.33346800301338464, 0.1, 0.2766227684645791, 0.1];false
0.0595049504950495;0.008820398246925007;0.0018883015856761979;-0.008183177593519728;[11 12 25 25 11];[0.1, 0.1, 0.1, 0.3106138008199978, 0.38938619918000217];false
0.0595049504950495;0.009896909487797752;0.0024266457754260544;-0.009163596941936612;[25 25 25 11 25];[0.25359425319417994, 0.1, 0.2519670450653767, 0.19177704282928837, 0.20266165891115506];false
0.0595049504950495;0.009405981952431294;0.001885225985489992;-0.008734099183055977;[11 18 25 11 11];[0.18629458722216152, 0.1, 0.24051147935165504, 0.22209808639823445, 0.25109584702794907];false
0.0595049504950495;0.008478314804717467;0.001870936430445478;-0.007862483122308266;[12 25 11 12 25];[0.17270962506004597, 0.22054252140790928, 0.1, 0.22580170522571738, 0.28094614830632736];false
0.06940594059405941;0.008266273764973936;0.0012813575981185108;-0.007603611429773163;[30 3 30 30 7];[0.2408462275261115, 0.20410719326920723, 0.1, 0.1, 0.3550465792046812];false
0.06940594059405941;0.007641658773774219;0.0012180246690268938;-0.0070267441110609926;[11 29 11 30 11];[0.1, 0.27676363921810476, 0.1, 0.26722680255811493, 0.25600955822378035];false
0.06940594059405941;0.007116874318033319;0.001135466950341832;-0.0065441128101985675;[11 29 29 25 30];[0.2721748443785772, 0.18422399517149027, 0.1979844798337504, 0.1, 0.24561668061618222];true
0.06940594059405941;0.008766049473990418;0.001761802383098277;-0.008035354013414263;[25 25 7 30 25];[0.19646101597078192, 0.23794617710012878, 0.1525399740818917, 0.31305283284719765, 0.1];false
0.06940594059405941;0.008311703136082843;0.0015207484562320313;-0.007629272584972671;[30 25 30 30 25];[0.1, 0.3316647276275839, 0.2471081364768422, 0.2212271358955739, 0.1];false
0.06940594059405941;0.008722757053687077;0.002074437334584347;-0.007973367621392198;[19 19 25 30 19];[0.15769305593390134, 0.1463844651496283, 0.1821131537647037, 0.24065280667798186, 0.2731565184737847];true
0.06940594059405941;0.0102735;0.0026517208537356713;-0.009376412889260522;[25 25 19 25 25];[0.16495908600766213, 0.20488977567658367, 0.1, 0.21622436519715998, 0.3139267731185943];false
0.06940594059405941;0.01049;0.0026517208537356718;-0.009577886503121908;[19 25 25 25 25];[0.1, 0.1, 0.2905629286941406, 0.32853798624740427, 0.1808990850584552];false
0.06940594059405941;0.009152828130670206;0.0021769820665351676;-0.008366471997181;[25 19 11 25 25];[0.2905511668137495, 0.17965022716859508, 0.185283368766411, 0.24451523725124452, 0.1];false
0.06940594059405941;0.010067400609445287;0.00258843768874405;-0.009189010248353136;[25 25 19 25 25];[0.27938199446329526, 0.18042556825240244, 0.1408439679595115, 0.1637382813889999, 0.2356101879357909];false
0.06940594059405941;0.007116874318033319;0.001135466950341832;-0.0065441128101985675;[11 29 29 25 30];[0.2721748443785772, 0.18422399517149027, 0.1979844798337504, 0.1, 0.24561668061618222];false
0.06940594059405941;0.008722757053687077;0.002074437334584347;-0.007973367621392198;[19 19 25 30 19];[0.15769305593390134, 0.1463844651496283, 0.1821131537647037, 0.24065280667798186, 0.2731565184737847];false
0.07930693069306931;0.00844695676595767;0.0011698545397158975;-0.007684276978250293;[29 11 29 30 25];[0.24663389690866028, 0.1, 0.2950567545304097, 0.16289274204599108, 0.19541660651493895];false
0.0892079207920792;0.007355509214174666;0.0012467343223844989;-0.006588120954131122;[3 7 18 3 28];[0.1331212459665516, 0.3087605231006456, 0.15330738970075677, 0.22315013333259495, 0.18166070789945105];true
0.0892079207920792;0.006398929989345588;0.000978406528542935;-0.005740813137601276;[28 19 28 24 16];[0.2214490473771652, 0.1, 0.18155389366017893, 0.2461399866679975, 0.25085707229465837];true
0.0892079207920792;0.007744889232251969;0.0012583936933532741;-0.006941725082155898;[19 28 28 23 24];[0.22182900442422138, 0.17580170559744995, 0.1756653301627349, 0.1, 0.3267039598155938];false
0.0892079207920792;0.009178850630368218;0.002150288770771368;-0.008168201660028934;[16 19 19 24 19];[0.23535260628823965, 0.2452187093730971, 0.18699433505716712, 0.1, 0.23243434928149614];false
0.0892079207920792;0.0065626543350895015;0.000991023544730256;-0.00588880643709766;[3 23 28 19 16];[0.20420943436624495, 0.22493659202889243, 0.20884404091960512, 0.1, 0.2620099326852575];true
0.0892079207920792;0.010490000000000001;0.0029785925528171635;-0.0092884948623675;[19 19 19 16 19];[0.2904175859483204, 0.25065649211338287, 0.2589259219382967, 0.1, 0.1];false
0.0892079207920792;0.007355509214174666;0.0012467343223844989;-0.006588120954131122;[3 7 18 3 28];[0.1331212459665516, 0.3087605231006456, 0.15330738970075677, 0.22315013333259495, 0.18166070789945105];false
0.0892079207920792;0.006398929989345588;0.000978406528542935;-0.005740813137601276;[28 19 28 24 16];[0.2214490473771652, 0.1, 0.18155389366017893, 0.2461399866679975, 0.25085707229465837];false
0.0892079207920792;0.0065626543350895015;0.000991023544730256;-0.00588880643709766;[3 23 28 19 16];[0.20420943436624495, 0.22493659202889243, 0.20884404091960512, 0.1, 0.2620099326852575];false
0.09910891089108911;0.0070058752243680415;0.0010026732406570801;-0.006212156708180898;[28 20 28 17 20];[0.23921366742635564, 0.16559389420680956, 0.20983709674497786, 0.28535534162185694, 0.1];false
0.10900990099009901;0.008498264158114924;0.0013983594914856522;-0.007419434193935693;[7 14 28 7 7];[0.22803067556556206, 0.1916685198717079, 0.2573198331378348, 0.2229809714248952, 0.1];false
0.10900990099009901;0.007850368463142066;0.0012777994952666827;-0.0068553077777749345;[7 28 7 25 28];[0.1, 0.30583125441598935, 0.19845473354003818, 0.29571401204397246, 0.1];false
0.10900990099009901;0.009248217647351056;0.0018070836396631364;-0.008043080348637925;[7 25 7 28 7];[0.17067178334418998, 0.24599491930446604, 0.21281560613582015, 0.1, 0.2705176912155239];false
0.10900990099009901;0.009224766153720336;0.0019428283574900423;-0.008007387781755719;[7 7 14 7 25];[0.2725003789669456, 0.23866392869181033, 0.28883569234124407, 0.1, 0.1];false
0.10900990099009901;0.00949404670050964;0.0017519768180112255;-0.008268118790223357;[25 7 7 28 7];[0.17740878266373264, 0.25586480900292224, 0.2164110505060732, 0.12461069477332876, 0.2257046630539431];false
0.10900990099009901;0.009720282806265352;0.0020034716644729525;-0.008442277492177939;[7 14 7 7 7];[0.24687275704432923, 0.2054778664036345, 0.2322109273266124, 0.13829295053592305, 0.17714549868950075];false
0.10900990099009901;0.009488507320647975;0.0022670504249547117;-0.008207035134716436;[7 25 25 7 25];[0.15306352737552134, 0.1, 0.28182623108998894, 0.21400118711835203, 0.25110905441613773];false
0.10900990099009901;0.009520894659180979;0.0021665835584449783;-0.008246843815853635;[25 7 14 14 14];[0.2098680908850724, 0.1, 0.1, 0.3264975914833823, 0.2636343176315453];false
0.10900990099009901;0.009301720120753537;0.001963351920433917;-0.00807371573289736;[14 25 7 7 7];[0.18727851784587404, 0.15454773601228455, 0.16739944403976445, 0.3065456289542067, 0.18422867314787042];false
0.10900990099009901;0.010865;0.0021744501610000003;-0.009443570828984059;[7 7 7 7 7];[0.23761210791637496, 0.1, 0.26613018086792867, 0.19290177077579512, 0.2033559404399013];false
0.10900990099009901;0.010181880240404183;0.002016165286639094;-0.008852172505228476;[7 7 7 14 7];[0.27860810341758324, 0.2504182131101438, 0.1888084142467215, 0.18216526922555154, 0.1];false
0.10900990099009901;0.008792821538073361;0.0021200576195409934;-0.007603209661584906;[7 7 7 25 25];[0.1, 0.2573858817101211, 0.19519504147031613, 0.23666776700647377, 0.21075130981308898];true
0.10900990099009901;0.008961396857742268;0.002158191722450363;-0.007749251607564833;[25 7 25 7 7];[0.24005015022085738, 0.20683870527650544, 0.26757735438120483, 0.1855337901214324, 0.1];false
0.10900990099009901;0.009685992130391502;0.002000053994307304;-0.008412097399372355;[7 7 7 14 7];[0.27548780638855463, 0.19665274952611217, 0.21622636750868648, 0.21163307657664676, 0.1];false
0.10900990099009901;0.009498944145926797;0.0020865731338572434;-0.008236008054338459;[7 25 25 7 7];[0.2516399419164972, 0.1, 0.26428156108618683, 0.17832847343661906, 0.20575002356069688];false
0.10900990099009901;0.009239041485966375;0.0019964638592795273;-0.00801426016070739;[7 7 14 25 7];[0.1434986899156766, 0.239522455847541, 0.11037580612679772, 0.21756403537212954, 0.28903901273785515];false
0.10900990099009901;0.009662586141167221;0.001964258248384535;-0.008395144985434895;[7 7 14 14 7];[0.23776149831880278, 0.18627543856807124, 0.22064369568874065, 0.1, 0.2553193674243853];false
0.10900990099009901;0.010865;0.0021727717689999995;-0.009443753790329803;[7 7 7 7 7];[0.3741181167454791, 0.19897205363494883, 0.1, 0.15614894016451314, 0.17076088945505896];false
0.10900990099009901;0.009429807598607752;0.001957252850024095;-0.008188505266534122;[7 7 14 7 7];[0.1, 0.18191547348430326, 0.3827179737045997, 0.17684821248988541, 0.15851834032121165];false
0.10900990099009901;0.008682755515416108;0.001959796847764406;-0.007522611936023856;[7 7 14 7 14];[0.1, 0.28831144363374694, 0.18666840574887478, 0.19362041892195753, 0.23139973169542075];false
0.10900990099009901;0.01049;0.0020762452868894653;-0.00912015484545888;[14 7 7 7 7];[0.1, 0.25716113595518614, 0.1, 0.24441112592780923, 0.2984277381170046];false
0.10900990099009901;0.008792821538073361;0.0021200576195409934;-0.007603209661584906;[7 7 7 25 25];[0.1, 0.2573858817101211, 0.19519504147031613, 0.23666776700647377, 0.21075130981308898];false
0.10900990099009901;0.0087672402599634;0.002117237431513986;-0.007580724424486509;[7 25 25 7 7];[0.11062532562150224, 0.20493170690151574, 0.23566569575539126, 0.23655374803944498, 0.2122235236821458];false
0.10900990099009901;0.0087672402599634;0.002117237431513986;-0.007580724424486509;[7 25 25 7 7];[0.11062532562150224, 0.20493170690151574, 0.23566569575539126, 0.23655374803944498, 0.2122235236821458];true
0.1189108910891089;0.006927010034157084;0.0008672902921096903;-0.00600018283694457;[2 25 16 11 28];[0.1876649490358571, 0.1, 0.30487796707887005, 0.1, 0.3074570838852728];false
0.1189108910891089;0.00667120250419809;0.0008932637560335014;-0.005771705080580452;[28 12 16 18 28];[0.31634339523557853, 0.20666880292187323, 0.1, 0.16570098078685852, 0.2112868210556897];false
0.1189108910891089;0.007447728805725788;0.000892787828697093;-0.006455950540583028;[2 28 18 30 2];[0.2644529625749322, 0.26520778016528834, 0.1667643239739649, 0.2035749332858146, 0.1];false
0.1189108910891089;0.007675080131543289;0.0007683944856708569;-0.006671059040922082;[28 2 30 28 30];[0.21400665391489432, 0.1, 0.21385085607055185, 0.23994429595099095, 0.23219819406356293];false
0.1189108910891089;0.007112372738169587;0.0009320469036368995;-0.006155803630267647;[2 30 20 28 2];[0.22876034439798876, 0.1, 0.1, 0.29391298299714486, 0.27732667260486643];false
0.1189108910891089;0.0063048755743802115;0.0008506188687527214;-0.005454009353964107;[28 28 2 2 30];[0.24403703931458617, 0.1, 0.2171030090653237, 0.2485014518779082, 0.190358499742182];false
0.1189108910891089;0.007424086925278678;0.0008892686597791876;-0.006435538404718827;[2 30 28 30 20];[0.3879589797361078, 0.1, 0.22400179946897456, 0.18803922079491764, 0.1];false
0.1189108910891089;0.0076174352761634034;0.000877519914640514;-0.006607292584662859;[25 30 30 28 28];[0.16903573586753412, 0.2870525649304053, 0.11772720331596553, 0.3093033655447147, 0.1168811303413802];false
0.1189108910891089;0.00629248010587919;0.0008711949767356839;-0.00544064111833261;[28 30 28 2 7];[0.2499387732064423, 0.2021252650491612, 0.1, 0.22525942032510407, 0.22267654141929244];false
0.1189108910891089;0.0062104375777995435;0.000866256320739457;-0.005368941600359411;[2 28 28 30 7];[0.1073040212160018, 0.3666319240237042, 0.12542431678860733, 0.18481150988027467, 0.21582822809141192];false
0.1189108910891089;0.006560672096536543;0.0009167847187925626;-0.005671521043545428;[28 28 28 30 2];[0.24342533297059404, 0.29288696208585585, 0.19919244017799098, 0.1, 0.16449526476555915];false
0.1189108910891089;0.008237720593579516;0.0011585709444719467;-0.007120399193856763;[2 30 30 2 2];[0.1, 0.24804842209408862, 0.1961239204960189, 0.2655947741699497, 0.1902328832399428];false
0.1189108910891089;0.006528865584527189;0.000998496623922583;-0.005633780236769944;[28 2 30 25 30];[0.21197200890060244, 0.15108519265166862, 0.3029167275520065, 0.22360064406895208, 0.11042542682677034];true
0.1189108910891089;0.006346601453623369;0.0008572906079823136;-0.0054899802292680796;[28 2 7 2 30];[0.3442077446921763, 0.21088980990643735, 0.16389121811429042, 0.1, 0.1810112272870959];false
0.1189108910891089;0.008144169253134496;0.0008160535989411818;-0.00707870116943718;[30 2 30 28 30];[0.1, 0.21206718650985695, 0.18582882700247794, 0.2790051714900667, 0.22309881499759837];false
0.1189108910891089;0.007958516661720283;0.0007856028156213971;-0.006918745622879951;[2 28 28 28 30];[0.31372082967564846, 0.20730797089196404, 0.14600321577235098, 0.12480145617424886, 0.20816652748578762];false
