lambda;Return;Risk;E[x,lambda];Stocks;Investment;Pareto
0.0199009900990099;0.002700762317726582;9.564120869484568e-5;-0.0026451111188344326;[31 56 31 31 56];[0.31499443873648025, 0.1, 0.2175207560919608, 0.18972307877414918, 0.1777617263974097];false
0.0199009900990099;0.002242876750982322;0.0001421103765695529;-0.0021954131457706458;[10 62 69 31 54];[0.3455363967004039, 0.16719201617971444, 0.20782713728892077, 0.1794444498309609, 0.1];true
0.0199009900990099;0.0029297846119292602;0.00011027818734130289;-0.0028692843522606084;[54 56 66 10 54];[0.3186280165230299, 0.191740658162798, 0.14728126542595443, 0.10680420987462766, 0.23554585001359];true
0.0199009900990099;0.0021931724216115497;0.00014102663000666306;-0.0021467195493961775;[56 56 31 54 31];[0.2557933778413284, 0.1, 0.1965910526302984, 0.1, 0.34761556952837325];true
0.0199009900990099;0.0022781673493749042;0.00013251455434653127;-0.0022301923926770816;[56 54 56 56 56];[0.24776153881184385, 0.1, 0.24667645362767526, 0.2315453434762922, 0.17401666408418875];true
0.0199009900990099;0.002737891554126445;0.00011822239636893426;-0.002681052058675992;[10 66 7 96 69];[0.319324883849597, 0.1, 0.22500063813346685, 0.18392325730279008, 0.17175122071414617];false
0.0199009900990099;0.0023109422589856032;0.00013077751635770892;-0.0022623496179119394;[7 20 56 31 69];[0.3560225325813593, 0.1, 0.23804386052982995, 0.20593360688881074, 0.1];false
0.0199009900990099;0.0037017402679163343;0.0001796735759932018;-0.0036244962894385305;[31 66 56 69 69];[0.4317401758708111, 0.210393027923793, 0.10404272854746273, 0.10352527720161016, 0.15029879045632294];false
0.0199009900990099;0.002083004507812859;0.00011078290606625337;-0.002039345966209918;[56 66 62 62 56];[0.22653665120313854, 0.1, 0.15585883873997522, 0.20114820077143408, 0.3164563092854522];false
0.0199009900990099;0.0019292481847380462;9.503170788883055e-5;-0.001888963010637254;[56 54 31 56 69];[0.20981491949299033, 0.21292458645402243, 0.3058748613274919, 0.14156209095323946, 0.12982354177225597];false
0.0199009900990099;0.0019292481847380462;9.503170788883055e-5;-0.001888963010637254;[56 54 31 56 69];[0.20981491949299033, 0.21292458645402243, 0.3058748613274919, 0.14156209095323946, 0.12982354177225597];true
0.0199009900990099;0.002242876750982322;0.0001421103765695529;-0.0021954131457706458;[10 62 69 31 54];[0.3455363967004039, 0.16719201617971444, 0.20782713728892077, 0.1794444498309609, 0.1];false
0.0199009900990099;0.0029297846119292602;0.00011027818734130289;-0.0028692843522606084;[54 56 66 10 54];[0.3186280165230299, 0.191740658162798, 0.14728126542595443, 0.10680420987462766, 0.23554585001359];false
0.0199009900990099;0.0021931724216115497;0.00014102663000666306;-0.0021467195493961775;[56 56 31 54 31];[0.2557933778413284, 0.1, 0.1965910526302984, 0.1, 0.34761556952837325];false
0.0199009900990099;0.0022781673493749042;0.00013251455434653127;-0.0022301923926770816;[56 54 56 56 56];[0.24776153881184385, 0.1, 0.24667645362767526, 0.2315453434762922, 0.17401666408418875];false
0.0298019801980198;0.0029150874865167243;0.00010223284927426786;-0.0028251653656183985;[53 16 22 19 72];[0.31702963420519026, 0.20127891880726567, 0.281691446987544, 0.1, 0.1];true
0.0298019801980198;0.0025068005386840544;0.00013210297964460222;-0.002428155988286339;[43 16 68 22 22];[0.28629517344495825, 0.322631419097371, 0.1185406250032425, 0.10960464417579494, 0.1629281382786334];true
0.0298019801980198;0.0023252015429810376;0.00012502483352919226;-0.002252179945027614;[3 19 6 67 3];[0.2528767311561759, 0.24389424856015898, 0.1, 0.30322902028366516, 0.1];true
0.0298019801980198;0.0022480172233208507;0.00012887429719891997;-0.0021771811492934793;[3 67 19 43 68];[0.25674020366843886, 0.1978821087071016, 0.19347753745026847, 0.1, 0.25190015017419115];true
0.0298019801980198;0.002960596826585036;9.85707096036149e-5;-0.0028694275762491165;[72 19 3 19 67];[0.3381220679060114, 0.28257281965368486, 0.17930511244030373, 0.1, 0.1];false
0.0298019801980198;0.002201348511331372;0.00010187102203513825;-0.0021327080084062905;[43 72 6 68 19];[0.25141029138092413, 0.2143421744808206, 0.15584435246661724, 0.278403181671638, 0.1];true
0.0298019801980198;0.0022328131307669833;0.00010413506313805188;-0.0021631674469684272;[19 43 19 43 19];[0.328451475546776, 0.1648803089092905, 0.2238360075612924, 0.18283220798264113, 0.1];true
0.0298019801980198;0.00205044931766512;0.0001321034029850687;-0.0019854049247031687;[43 67 19 68 6];[0.28629563217887743, 0.1, 0.32712848507313136, 0.1865758827479912, 0.1];true
0.0298019801980198;0.001994403164740236;9.386181814082568e-5;-0.0019321687330721962;[67 5 72 42 3];[0.23261058604388102, 0.2276397570267365, 0.1, 0.18492508353155027, 0.25482457339783227];true
0.0298019801980198;0.0029150874865167243;0.00010223284927426786;-0.0028251653656183985;[53 16 22 19 72];[0.31702963420519026, 0.20127891880726567, 0.281691446987544, 0.1, 0.1];false
0.0298019801980198;0.0019275934151475596;9.372147763048255e-5;-0.0018673542287390259;[22 19 5 3 43];[0.37407207745925863, 0.1607715173739109, 0.1, 0.1, 0.26515640516683037];false
0.0298019801980198;0.0019275934151475596;9.372147763048255e-5;-0.0018673542287390259;[22 19 5 3 43];[0.37407207745925863, 0.1607715173739109, 0.1, 0.1, 0.26515640516683037];true
0.0298019801980198;0.0025068005386840544;0.00013210297964460222;-0.002428155988286339;[43 16 68 22 22];[0.28629517344495825, 0.322631419097371, 0.1185406250032425, 0.10960464417579494, 0.1629281382786334];false
0.0298019801980198;0.0023252015429810376;0.00012502483352919226;-0.002252179945027614;[3 19 6 67 3];[0.2528767311561759, 0.24389424856015898, 0.1, 0.30322902028366516, 0.1];false
0.0298019801980198;0.0022480172233208507;0.00012887429719891997;-0.0021771811492934793;[3 67 19 43 68];[0.25674020366843886, 0.1978821087071016, 0.19347753745026847, 0.1, 0.25190015017419115];false
0.0298019801980198;0.002201348511331372;0.00010187102203513825;-0.0021327080084062905;[43 72 6 68 19];[0.25141029138092413, 0.2143421744808206, 0.15584435246661724, 0.278403181671638, 0.1];false
0.0298019801980198;0.0022328131307669833;0.00010413506313805188;-0.0021631674469684272;[19 43 19 43 19];[0.328451475546776, 0.1648803089092905, 0.2238360075612924, 0.18283220798264113, 0.1];false
0.0298019801980198;0.00205044931766512;0.0001321034029850687;-0.0019854049247031687;[43 67 19 68 6];[0.28629563217887743, 0.1, 0.32712848507313136, 0.1865758827479912, 0.1];false
0.0298019801980198;0.001994403164740236;9.386181814082568e-5;-0.0019321687330721962;[67 5 72 42 3];[0.23261058604388102, 0.2276397570267365, 0.1, 0.18492508353155027, 0.25482457339783227];false
0.039702970297029704;0.0020430737496645703;0.00011319110280141657;-0.0019574636302745843;[10 29 7 6 38];[0.300540416249569, 0.1550081969884972, 0.25791317753571236, 0.18653820922622144, 0.1];true
0.039702970297029704;0.0020157408539357193;9.42842069992474e-5;-0.0019319665916154298;[10 10 41 93 34];[0.2814494350650264, 0.1, 0.2578981025311664, 0.1776280269471016, 0.1830244354567056];true
0.039702970297029704;0.0027574915825990774;0.00011745924196637036;-0.0026433474954059345;[29 65 29 95 68];[0.31492594593411116, 0.1844685939934758, 0.20206756522415165, 0.1985378948482614, 0.1];true
0.039702970297029704;0.0025660941947034483;9.23832479299795e-5;-0.00246054474376325;[29 74 29 6 29];[0.27907495320320264, 0.1, 0.2281526642276185, 0.17456373848551016, 0.21820864408366863];false
0.039702970297029704;0.002139396049447369;0.00011201956221093084;-0.00205000816229143;[7 29 29 22 43];[0.3295942149818778, 0.18183687156295103, 0.1, 0.2206707893532151, 0.16789812410195604];true
0.039702970297029704;0.0019694292691101777;0.00012186996970281209;-0.0018863984775493847;[43 6 66 29 74];[0.27498314285257996, 0.18265802717134982, 0.2032157423368028, 0.1, 0.23914308763926742];true
0.039702970297029704;0.002117898856659023;0.00012170263038355892;-0.002028980025341788;[66 74 29 6 43];[0.31154734578685245, 0.1, 0.22040848743412453, 0.1, 0.26804416677902304];true
0.039702970297029704;0.003625066036432578;0.00016036385670066737;-0.0034747732258240205;[7 68 29 29 7];[0.3942431796011504, 0.1, 0.1, 0.1, 0.30575682039884955];true
0.039702970297029704;0.002499078449724238;0.00014442509143246072;-0.0023941235071496007;[29 66 41 29 29];[0.34893583492379754, 0.1, 0.2751838461579392, 0.1, 0.17588031891826325];true
0.039702970297029704;0.002100437989055634;0.00010784572864854166;-0.0020127625662042107;[66 65 41 29 66];[0.29327534055510107, 0.2917948472234946, 0.2149298122214044, 0.1, 0.1];true
0.039702970297029704;0.0023062060408652325;0.0001365165787432887;-0.0022092226972550326;[29 29 41 66 66];[0.3392477259289839, 0.1, 0.21012448803597356, 0.2506277860350426, 0.1];true
0.039702970297029704;0.0021858950712792475;0.00011502533390299712;-0.002094541696776467;[66 65 95 66 66];[0.30520735426965195, 0.23884897334582714, 0.1, 0.16355450312122707, 0.1923891692632939];true
0.039702970297029704;0.002080506930449398;0.0001059375258056676;-0.0019936985911465977;[7 68 7 22 66];[0.3205217886996453, 0.1, 0.2925466645833895, 0.18693154671696516, 0.1];true
0.039702970297029704;0.002317942262849261;0.00010801182521040148;-0.00222162467974907;[7 7 66 41 7];[0.3236445494064871, 0.1, 0.1, 0.19161098873139198, 0.2847444618621209];true
0.039702970297029704;0.002393623853686631;0.0001151802151098856;-0.0022940168802621356;[7 68 68 7 68];[0.33421165228799654, 0.22501368353367465, 0.24077466417832885, 0.1, 0.1];true
0.039702970297029704;0.0020430737496645703;0.00011319110280141657;-0.0019574636302745843;[10 29 7 6 38];[0.300540416249569, 0.1550081969884972, 0.25791317753571236, 0.18653820922622144, 0.1];false
0.039702970297029704;0.0020157408539357193;9.42842069992474e-5;-0.0019319665916154298;[10 10 41 93 34];[0.2814494350650264, 0.1, 0.2578981025311664, 0.1776280269471016, 0.1830244354567056];false
0.039702970297029704;0.0027574915825990774;0.00011745924196637036;-0.0026433474954059345;[29 65 29 95 68];[0.31492594593411116, 0.1844685939934758, 0.20206756522415165, 0.1985378948482614, 0.1];false
0.039702970297029704;0.002139396049447369;0.00011201956221093084;-0.00205000816229143;[7 29 29 22 43];[0.3295942149818778, 0.18183687156295103, 0.1, 0.2206707893532151, 0.16789812410195604];false
0.039702970297029704;0.0019694292691101777;0.00012186996970281209;-0.0018863984775493847;[43 6 66 29 74];[0.27498314285257996, 0.18265802717134982, 0.2032157423368028, 0.1, 0.23914308763926742];false
0.039702970297029704;0.002117898856659023;0.00012170263038355892;-0.002028980025341788;[66 74 29 6 43];[0.31154734578685245, 0.1, 0.22040848743412453, 0.1, 0.26804416677902304];false
0.039702970297029704;0.003625066036432578;0.00016036385670066737;-0.0034747732258240205;[7 68 29 29 7];[0.3942431796011504, 0.1, 0.1, 0.1, 0.30575682039884955];false
0.039702970297029704;0.002499078449724238;0.00014442509143246072;-0.0023941235071496007;[29 66 41 29 29];[0.34893583492379754, 0.1, 0.2751838461579392, 0.1, 0.17588031891826325];false
0.039702970297029704;0.002100437989055634;0.00010784572864854166;-0.0020127625662042107;[66 65 41 29 66];[0.29327534055510107, 0.2917948472234946, 0.2149298122214044, 0.1, 0.1];false
0.039702970297029704;0.0023062060408652325;0.0001365165787432887;-0.0022092226972550326;[29 29 41 66 66];[0.3392477259289839, 0.1, 0.21012448803597356, 0.2506277860350426, 0.1];false
0.039702970297029704;0.0021858950712792475;0.00011502533390299712;-0.002094541696776467;[66 65 95 66 66];[0.30520735426965195, 0.23884897334582714, 0.1, 0.16355450312122707, 0.1923891692632939];false
0.039702970297029704;0.002080506930449398;0.0001059375258056676;-0.0019936985911465977;[7 68 7 22 66];[0.3205217886996453, 0.1, 0.2925466645833895, 0.18693154671696516, 0.1];false
0.039702970297029704;0.002317942262849261;0.00010801182521040148;-0.00222162467974907;[7 7 66 41 7];[0.3236445494064871, 0.1, 0.1, 0.19161098873139198, 0.2847444618621209];false
0.039702970297029704;0.002393623853686631;0.0001151802151098856;-0.0022940168802621356;[7 68 68 7 68];[0.33421165228799654, 0.22501368353367465, 0.24077466417832885, 0.1, 0.1];false
0.049603960396039606;0.0020244268718772472;0.00010030340560073977;-0.0019190318353409627;[7 51 27 50 51];[0.311882124769257, 0.16324589976680254, 0.1, 0.25890392916419536, 0.16596804629974515];true
0.049603960396039606;0.002221376808719499;0.00012665829924169987;-0.002104904968215681;[29 57 43 40 88];[0.32676916868483363, 0.16380074469946787, 0.1686302325571059, 0.1, 0.24079985405859264];true
0.049603960396039606;0.002013225895058695;0.00010874987054835539;-0.0019079674932201672;[88 44 93 70 34];[0.29614973448936377, 0.18948066730727722, 0.18111063029044966, 0.16380962884417172, 0.16944933906873788];true
0.049603960396039606;0.002783345122248793;9.448554307315963e-5;-0.0026405933238996546;[7 57 91 70 29];[0.3027020252581613, 0.16065196650623828, 0.1091062637897497, 0.24834806030884468, 0.179191684137006];false
0.049603960396039606;0.002591134654312246;0.0001081364165954896;-0.002457240119012763;[66 66 79 88 95];[0.2959267535760902, 0.1, 0.1, 0.2754686105640245, 0.22860463585988525];true
0.049603960396039606;0.0029820101603888517;0.00010019529612936225;-0.0028291205629912652;[95 12 88 79 66];[0.3243077934082492, 0.23595727231196778, 0.23973493427978304, 0.1, 0.1];false
0.049603960396039606;0.0024058139990782647;0.00013991411036538316;-0.002279535802758337;[88 76 7 12 76];[0.3359137111251417, 0.1, 0.1, 0.17405310341737146, 0.29003318545748685];true
0.049603960396039606;0.0022286217810286424;0.00010275420906731646;-0.0021129762987476446;[91 79 44 69 57];[0.31117310542148036, 0.1, 0.1, 0.22915547810288436, 0.2596714164756353];true
0.049603960396039606;0.002102766763341455;0.00010671773713659844;-0.001993167581684078;[76 79 12 69 57];[0.22868589052109353, 0.17882386165901337, 0.10280453057354227, 0.25949700813499, 0.23018870911136097];true
0.049603960396039606;0.002390861872452756;0.00013832168796020481;-0.0022654043512877167;[88 44 76 12 69];[0.3338260084407646, 0.2257955077701946, 0.18368037285021277, 0.1, 0.1566981109388281];true
0.049603960396039606;0.0024973648862376477;0.00011012028606080126;-0.0023680232950176947;[40 29 12 27 12];[0.27160031389207695, 0.3167530248147935, 0.16715402025638765, 0.14105745029339123, 0.10343519074335057];true
0.049603960396039606;0.0022719131824421464;0.0001067850221932084;-0.0021539203309052838;[91 57 69 44 88];[0.3172177021002718, 0.2434465005604265, 0.1, 0.2393357973393017, 0.1];true
0.049603960396039606;0.002059310837780825;0.00010251353987352066;-0.001952075786968466;[88 91 69 79 95];[0.2875329290394897, 0.20725738659178583, 0.1, 0.21268589622145195, 0.19252378814727256];true
0.049603960396039606;0.0020407081513806376;9.416101749236268e-5;-0.0019348101856771353;[95 40 27 69 66];[0.3143904100108824, 0.1, 0.2653998679058004, 0.22020972208331716, 0.1];true
0.049603960396039606;0.0020508172793561527;0.00010166965644605792;-0.001944045402639627;[88 69 66 57 12];[0.2863470091254053, 0.10208174000353437, 0.10420783591208801, 0.20269981501226803, 0.3046635999467042];true
0.049603960396039606;0.002504959402160965;9.826443364789462e-5;-0.002375829190107476;[27 88 69 27 79];[0.2860849020284336, 0.26208228910590303, 0.1, 0.2518328088656633, 0.1];true
0.049603960396039606;0.0034268388775936798;0.00017222252687089073;-0.0032483111782237043;[88 95 27 88 95];[0.3726850329085024, 0.1, 0.269726921127516, 0.1575880459639816, 0.1];true
0.049603960396039606;0.002263579014584317;0.00011585123352734325;-0.0021455498507918476;[95 66 27 27 88];[0.3487257763956736, 0.21960216031501825, 0.23167206328930817, 0.1, 0.1];true
0.049603960396039606;0.0025116321008661624;0.00010316975468795251;-0.002381927573179765;[66 95 88 12 95];[0.2868469736028052, 0.1, 0.3074633419438355, 0.20568968445335933, 0.1];true
0.049603960396039606;0.00309848083589269;0.00015034625022637856;-0.002937326145779259;[27 88 95 27 88];[0.3538694421987997, 0.1, 0.20694412596444461, 0.16662494000041433, 0.1725614918363414];true
0.049603960396039606;0.0022080152454326883;0.00011736511167699748;-0.0020926671702928908;[66 88 27 88 88];[0.3082959013449718, 0.24832037210362584, 0.16745454650621158, 0.1, 0.17592918004519076];true
0.049603960396039606;0.003059891117006811;0.00014586392898189438;-0.002900872970666183;[27 88 95 27 95];[0.34946221071343203, 0.1, 0.2654800102969699, 0.1850577789895981, 0.1];true
0.049603960396039606;0.0019360310236499801;9.805086087355477e-5;-0.001835132506407773;[83 24 96 38 37];[0.29826390751039594, 0.22110828086045176, 0.1, 0.1, 0.2806278116291523];false
0.049603960396039606;0.0019360310236499801;9.805086087355477e-5;-0.001835132506407773;[83 24 96 38 37];[0.29826390751039594, 0.22110828086045176, 0.1, 0.1, 0.2806278116291523];true
0.049603960396039606;0.0020244268718772472;0.00010030340560073977;-0.0019190318353409627;[7 51 27 50 51];[0.311882124769257, 0.16324589976680254, 0.1, 0.25890392916419536, 0.16596804629974515];false
0.049603960396039606;0.002221376808719499;0.00012665829924169987;-0.002104904968215681;[29 57 43 40 88];[0.32676916868483363, 0.16380074469946787, 0.1686302325571059, 0.1, 0.24079985405859264];false
0.049603960396039606;0.002013225895058695;0.00010874987054835539;-0.0019079674932201672;[88 44 93 70 34];[0.29614973448936377, 0.18948066730727722, 0.18111063029044966, 0.16380962884417172, 0.16944933906873788];false
0.049603960396039606;0.002591134654312246;0.0001081364165954896;-0.002457240119012763;[66 66 79 88 95];[0.2959267535760902, 0.1, 0.1, 0.2754686105640245, 0.22860463585988525];false
0.049603960396039606;0.0024058139990782647;0.00013991411036538316;-0.002279535802758337;[88 76 7 12 76];[0.3359137111251417, 0.1, 0.1, 0.17405310341737146, 0.29003318545748685];false
0.049603960396039606;0.0022286217810286424;0.00010275420906731646;-0.0021129762987476446;[91 79 44 69 57];[0.31117310542148036, 0.1, 0.1, 0.22915547810288436, 0.2596714164756353];false
0.049603960396039606;0.002102766763341455;0.00010671773713659844;-0.001993167581684078;[76 79 12 69 57];[0.22868589052109353, 0.17882386165901337, 0.10280453057354227, 0.25949700813499, 0.23018870911136097];false
0.049603960396039606;0.002390861872452756;0.00013832168796020481;-0.0022654043512877167;[88 44 76 12 69];[0.3338260084407646, 0.2257955077701946, 0.18368037285021277, 0.1, 0.1566981109388281];false
0.049603960396039606;0.0024973648862376477;0.00011012028606080126;-0.0023680232950176947;[40 29 12 27 12];[0.27160031389207695, 0.3167530248147935, 0.16715402025638765, 0.14105745029339123, 0.10343519074335057];false
0.049603960396039606;0.0022719131824421464;0.0001067850221932084;-0.0021539203309052838;[91 57 69 44 88];[0.3172177021002718, 0.2434465005604265, 0.1, 0.2393357973393017, 0.1];false
0.049603960396039606;0.002059310837780825;0.00010251353987352066;-0.001952075786968466;[88 91 69 79 95];[0.2875329290394897, 0.20725738659178583, 0.1, 0.21268589622145195, 0.19252378814727256];false
0.049603960396039606;0.0020407081513806376;9.416101749236268e-5;-0.0019348101856771353;[95 40 27 69 66];[0.3143904100108824, 0.1, 0.2653998679058004, 0.22020972208331716, 0.1];false
0.049603960396039606;0.0020508172793561527;0.00010166965644605792;-0.001944045402639627;[88 69 66 57 12];[0.2863470091254053, 0.10208174000353437, 0.10420783591208801, 0.20269981501226803, 0.3046635999467042];false
0.049603960396039606;0.002504959402160965;9.826443364789462e-5;-0.002375829190107476;[27 88 69 27 79];[0.2860849020284336, 0.26208228910590303, 0.1, 0.2518328088656633, 0.1];false
